player_id,player_name,position,age,nationality,height,foot,contract,market_value,club_id
392768,Callum Hudson-Odoi,Left Winger,23,"England, Ghana","1,78m",right,"Jun 30, 2026",€18.00m,703
745191,Ramón Sosa,Left Winger,25,"Paraguay, Argentina","1,79m",right,"Jun 30, 2029",€13.00m,703
663244,Jota Silva,Left Winger,25,Portugal,"1,79m",right,"Jun 30, 2028",€12.00m,703
583189,Anthony Elanga,Right Winger,22,"Sweden, Cameroon","1,78m",right,"Jun 30, 2028",€22.00m,703
897481,Eric da Silva Moreira,Right Winger,18,"Germany, Portugal","1,85m",right,"Jun 30, 2028",€1.00m,703
295313,Taiwo Awoniyi,Centre-Forward,27,Nigeria,"1,83m",right,"Jun 30, 2027",€28.00m,703
108725,Chris Wood,Centre-Forward,32,New Zealand,"1,91m",right,"Jun 30, 2024",€7.00m,703
448854,Emmanuel Dennis,Centre-Forward,26,Nigeria,"1,75m",right,"Jun 30, 2026",€4.20m,703
125714,Mark Flekken,Goalkeeper,31,Netherlands,"1,95m",both,"Jun 30, 2027",€12.00m,1148
488935,Hákon Rafn Valdimarsson,Goalkeeper,22,Iceland,"1,95m",right,"Jun 30, 2028",€2.50m,1148
741236,Matthew Cox,Goalkeeper,21,England,"1,83m",right,"Jun 30, 2028",€800k,1148
469050,Nathan Collins,Centre-Back,23,Ireland,"1,93m",right,"Jun 30, 2029",€25.00m,1148
328658,Kristoffer Ajer,Centre-Back,26,Norway,"1,98m",right,"Jun 30, 2028",€15.00m,1148
541231,Sepp van den Berg,Centre-Back,22,Netherlands,"1,92m",right,"Jun 30, 2029",€12.00m,1148
442248,Ethan Pinnock,Centre-Back,31,"Jamaica, England","1,94m",left,"Jun 30, 2027",€12.00m,1148
74810,Ben Mee,Centre-Back,35,England,"1,80m",left,"Jun 30, 2025",€1.00m,1148
709767,Ji-soo Kim,Centre-Back,19,"Korea, South","1,92m",both,"Jun 30, 2027",€600k,1148
339556,Rico Henry,Left-Back,27,"England, Jamaica","1,70m",left,"Jun 30, 2026",€20.00m,1148
954104,Jayden Meghoma,Left-Back,18,"England, Nigeria","1,76m",N/A,"Jun 30, 2028",N/A,1148
591949,Aaron Hickey,Right-Back,22,Scotland,"1,85m",both,"Jun 30, 2026",€28.00m,1148
391005,Mads Roerslev,Right-Back,25,Denmark,"1,84m",right,"Jun 30, 2026",€10.00m,1148
270171,Vitaly Janelt,Defensive Midfield,26,Germany,"1,84m",left,"Jun 30, 2026",€22.00m,1148
148367,Christian Nørgaard,Defensive Midfield,30,Denmark,"1,87m",right,"Jun 30, 2025",€18.00m,1148
